"characteristics of completed court cases","firearms-related offences with amended mmp","firearms-related offences with amended mmp","firearms-related offences with amended mmp","firearms-related offences with amended mmp","firearms-related offences with mmp unchanged","firearms-related offences with mmp unchanged","firearms-related offences with mmp unchanged","firearms-related offences with mmp unchanged"
"characteristics of completed court cases","pre-2008","pre-2008","post-2008","post-2008","pre-2008","pre-2008","post-2008","post-2008"
"characteristics of completed court cases","number","percent","number","percent","number","percent","number","percent"
"number of charges per case","","","","","","","",""
"total completed cases","905","100","812","100","1,349","100","1,606","100"
"single charge","69","8","32","4","56","4","65","4"
"multiple charges","836","92","780","96","1,293","96","1,541","96"
"number of appearances in case","","","","","","","",""
"total completed cases","905","100","812","100","1,349","100","1,606","100"
"1 or 2 appearances","100","11","35","4","117","9","52","3"
"3 to 5 appearances","129","14","63","8","252","19","221","14"
"6 to 10 appearances","249","28","183","23","398","30","510","32"
"over 10 appearances","427","47","531","65","582","43","823","51"
"case length","","","","","","","",""
"total completed cases","905","100","812","100","1,349","100","1,606","100"
"1 day","32","4","8","1","22","2","18","1"
"2 days to less than 2 months","134","15","72","9","188","14","168","10"
"2 to less than 4 months","138","15","94","12","197","15","216","13"
"4 to less than 8 months","277","31","187","23","375","28","397","25"
"8 to less than 12 months","146","16","176","22","273","20","324","20"
"1 year or longer","178","20","275","34","294","22","483","30"
