"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"burslem port vale","1895-96","second division","5","0","0","0","0","0","5","0"
"burslem port vale","1896-97","midland league","0","0","0","0","0","0","0","0"
"burslem port vale","1897-98","midland league","3","4","1","0","1","0","5","4"
"burslem port vale","1898-99","second division","0","0","1","1","0","0","1","1"
"burslem port vale","1899-1900","second division","21","3","0","0","5","1","26","4"
"burslem port vale","1900-01","second division","34","7","1","0","2","0","37","7"
"burslem port vale","1901-02","second division","34","3","5","2","3","1","42","6"
"burslem port vale","1902-03","second division","27","9","2","1","3","0","31","10"
"burslem port vale","1903-04","second division","32","6","4","1","1","0","37","7"
"burslem port vale","1904-05","second division","29","6","2","0","3","1","34","7"
"burslem port vale","1905-06","second division","34","3","1","1","3","2","38","6"
"burslem port vale","1906-07","second division","7","2","0","0","0","0","7","2"
"burslem port vale","total","total","226","43","17","6","20","5","263","54"
