"club","season","league","league","league","domestic cup","domestic cup","league cup","league cup","international","international","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cerro porteno","2013","primera division","6","1","0","0","0","0","0","0","6","1"
"cerro porteno","2014","primera division","14","0","0","0","0","0","1","0","15","0"
"cerro porteno","2015","primera division","19","5","0","0","0","0","1","0","20","5"
"cerro porteno","total","total","39","6","0","0","0","0","2","0","41","6"
"lanus","2015","primera division","10","0","1","0","0","0","3","1","14","1"
"lanus","2016","primera division","13","3","2","0","0","0","2","0","17","3"
"lanus","2016-17","primera division","12","0","2","0","0","0","0","0","14","0"
"lanus","total","total","35","3","5","0","0","0","5","1","45","4"
"atlanta united","2017","mls","30","9","1","0","1","0","0","0","32","9"
"atlanta united","2018","mls","32","12","1","0","5","1","0","0","38","13"
"atlanta united","total","total","62","21","2","0","6","1","0","0","70","22"
"newcastle united","2018-19","premier league","10","0","0","0","0","0","0","0","10","0"
"newcastle united","total","total","4","0","0","0","0","0","0","0","4","0"
"career total","career total","career total","140","30","7","0","6","1","7","1","160","32"
