"year","title","peak","peak","peak","peak","peak","peak","peak","peak","peak","album"
"year","title","swe","nor","fin","den","bel","uk","nl","ch","hu","album"
"1999","take me to your heaven","2","10","none","none","5","20","23","none","none","charlotte"
"1999","i write you a lovesong","38","none","none","none","none","none","none","none","none","charlotte"
"2000","damn you","none","none","none","none","none","none","none","none","none","charlotte"
"2001","you got me going crazy","20","none","none","none","none","none","none","none","none","miss jealousy"
"2001","miss jealousy","none","none","none","none","none","none","none","none","none","miss jealousy"
"2003","broken heart","7","none","none","none","none","none","none","none","none","gone too long"
"2004","million miles away","11","none","none","none","none","none","none","none","none","gone too long"
"2006",""i din rost"(promo single)","none","none","none","none","none","none","none","none","none","i din rost"
"2007","jag ar tillbaks","none","none","none","none","none","none","none","none","none","single only"
"2008","hero","1","20","18","24","none","none","none","65","4","hero"
"2008","bullet","none","none","none","none","none","none","none","none","none","hero"
"2012","the girl","7","none","none","none","none","none","none","none","none","the girl"
"2012","little braveheart","none","none","none","none","none","none","none","none","none","the girl"
"2012","just not tonight","none","none","none","none","none","none","none","none","none","the girl"
"2015","brollopsvalsen","none","none","none","none","none","none","none","none","none","single only"
"2016","har star jag","none","none","none","none","none","none","none","none","none","single only"
"2016","hostens sista blomma","none","none","none","none","none","none","none","none","none","mitt liv"
"2017","mitt liv","none","none","none","none","none","none","none","none","none","mitt liv"
"2019","diva to diva","none","none","none","none","none","none","none","none","none","none"
