"club","season","division","league","league","cup & shield1","cup & shield1","fa cup","fa cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"yokohama fc","2011","j2 league","0","0","0","0","0","0","0","0","0","0"
"yokohama fc","2012","j2 league","0","0","0","0","0","0","0","0","0","0"
"yokohama fc total","yokohama fc total","yokohama fc total","0","0","0","0","0","0","0","0","0","0"
"japan total","japan total","japan total","0","0","0","0","0","0","0","0","0","0"
"yokohama fc hk","2012-13","first division","5","0","1","0","0","0","0","0","6","0"
"yokohama fc hk","2013-14","first division","8","0","0","0","0","0","0","0","8","0"
"yokohama fc hong kong total","yokohama fc hong kong total","yokohama fc hong kong total","13","0","1","0","0","0","0","0","14","0"
"hong kong total","hong kong total","hong kong total","13","0","1","0","0","0","0","0","14","0"
"career total","career total","career total","13","0","1","0","0","0","0","0","14","0"
