"","men","men","women","women"
"","experienced workplace harassment","did not experience workplace harassment","experienced workplace harassment","did not experience workplace harassment"
"","percent","percent","percent","percent"
"unadjusted results","","","",""
"life is quite a bit/extremely stressful","30.1","17.7","33.5","21.4"
"fair/poor general health","13.5","8.6","12.6","8.3"
"fair/poor mental health","18.2","6.2","16.4","7.5"
"rarely/never has hopeful view of future","9.8","3.7","3.7","2.1"
"","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"adjusted results","","","",""
"life is quite a bit/extremely stressful","31.2","18.5","32.0","20.6"
"fair/poor general health","12.7","9.1","11.8","7.9"
"fair/poor mental health","17.8","6.5","14.8","7.4"
"rarely/never has hopeful view of future","8.2","3.7","3.6","2.3"
