"types of activities","2013","2010","2007","2004"
"types of activities","percentage of volunteers","percentage of volunteers","percentage of volunteers","percentage of volunteers"
"organizing events","46","44","45","47"
"fundraising","45","45","44","46"
"sitting on a committee or board","33","33","33","36"
"teaching or mentoring","28","30","30","30"
"counselling or providing advice","26","28","28","26"
"collecting, serving or delivering food or other goods","25","28","27","25"
"office work, bookkeeping","22","23","24","25"
"other activities","20","15","18","10"
"coaching, referring or officiating","17","18","20","19"
"driving","17","17","20","20"
"providing health care or support","17","19","20","19"
"environmental protection","16","18","19","16"
"maintenance or repair","16","16","18","18"
"canvassing","10","14","13","15"
"first-aid, fire-fighting, or search and rescue","6","6","6","7"
