"year","team","games","games","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving"
"year","team","g","gs","att","yds","avg","tds","rec","yds","avg","tds"
"1995","den","14","14","237","1,117","4.7","7","49","367","7.5","1"
"1996","den","16","16","345","1,538","4.5","13","36","310","8.6","2"
"1997","den","15","15","369","1,750","4.7","15","42","287","6.8","0"
"1998","den","16","16","392","2,008","5.1","21","25","217","8.7","2"
"1999","den","4","4","67","211","3.1","2","3","26","8.7","0"
"2000","den","5","4","78","282","3.6","2","2","4","2.0","0"
"2001","den","8","8","167","701","4.2","0","12","69","5.8","0"
"career","career","78","77","1,655","7,607","4.6","60","169","1,280","7.6","5"
