"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"leeds united","1981-82","first division","1","0","0","0","0","0","1","0"
"leeds united","1982-83","second division","15","0","4","0","0","0","19","0"
"leeds united","1983-84","second division","21","1","3","0","2","0","26","1"
"leeds united","1984-85","second division","32","1","1","0","0","0","33","1"
"leeds united","1985-86","second division","38","2","1","0","3","0","42","2"
"leeds united","1986-87","second division","41","1","5","0","8","1","54","2"
"leeds united","1987-88","second division","26","0","1","0","3","0","30","0"
"leeds united","1988-89","second division","33","0","2","0","4","0","39","0"
"leeds united","total","total","207","5","17","0","20","1","244","6"
"port vale","1989-90","second division","42","0","3","0","6","0","51","0"
"port vale","1990-91","second division","41","1","2","0","3","0","46","1"
"port vale","1991-92","second division","42","0","1","0","3","0","46","0"
"port vale","1992-93","second division","35","0","3","0","8","0","46","0"
"port vale","1993-94","second division","40","1","5","0","6","0","51","1"
"port vale","1994-95","first division","37","0","2","0","1","0","40","0"
"port vale","1995-96","first division","22","1","4","0","4","0","30","1"
"port vale","1996-97","first division","33","0","1","0","4","0","38","0"
"port vale","1997-98","first division","26","0","2","0","2","0","30","0"
"port vale","1998-99","first division","30","0","1","0","1","0","32","0"
"port vale","total","total","348","3","24","0","38","0","410","3"
"darlington","1999-2000","third division","29","0","2","0","3","0","34","0"
"darlington","2000-01","third division","21","0","3","0","2","0","26","0"
"darlington","total","total","50","0","5","0","5","0","60","0"
"hartlepool united","2000-01","third division","10","0","0","0","1","0","11","0"
"fc halifax town","2014-15","conference premier","0","0","0","0","1","0","1","0"
"career total","career total","career total","615","8","46","0","65","1","726","9"
