"","initial tax filers","delayed tax filers"
"","years","years"
"demographic characteristics","",""
"average age","45.7","40.1"
"","percent","percent"
"sex","",""
"female","50.8","40.3"
"male","49.2","59.7"
"marital status","",""
"single","27.8","45.0"
"married or common-law","56.2","36.9"
"other","16.0","18.1"
"income sources","",""
"employment","66.8","67.7"
"business self-employment","7.2","13.4"
"employment insurance","11.8","11.0"
"old age security","16.9","4.7"
"total","98.3","94.1"
"tax credits and allowances","",""
"disability deduction","2.1","1.3"
"tuition credits","8.7","7.5"
"","2010 constant dollars","2010 constant dollars"
"average conditional income","",""
"employment","38,000","32,350"
"business self-employment","11,500","12,450"
"employment insurance","6,000","6,500"
"old age security","5,650","5,400"
"total","38,950","32,250"
