"","percent"
"relationship with primary care receiver",""
"spouse or partner","38"
"son or daughter","49"
"parent","34"
"sibling","27"
"grandparent","16"
"other family member","27"
"friend, neighbour, co-worker or other","16"
"age of primary care receiver",""
"younger than 15","62"
"15 to 24","26"
"25 to 34","42"
"35 to 44","32"
"45 to 54","32"
"55 to 64","32"
"65 to 74","28"
"75 and older","29"
"distance from primary care receiver",""
"same household or building","40"
"less than 10 minutes by car","22"
"10 to 29 minutes by car","25"
"30 minutes to less than 3 hours by car","27"
"3 hours or more by car","29"
"usual dwelling of primary care receiver",""
"private household","31"
"supportive housing","28"
"institution or care facility","29"
"frequency of in person contact with primary care receiver",""
"less than once a month","24"
"at least once a month","21"
"at least once a week","24"
"daily","29"
"lives with care receiver","41"
