"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"portsmouth","2006-07","premier league","0","0","0","0","0","0","-","-","0","0"
"bognor regis","2006-07","conference south","12","1","2","0","-","-","1","0","15","1"
"woking","2006-07","conference premier","18","1","0","0","-","-","0","0","18","1"
"bournemouth","2007-08","league one","33","1","3","0","1","0","1","0","38","1"
"bournemouth","2008-09","league two","44","2","3","1","1","0","3","0","51","3"
"bournemouth","2009-10","league two","39","1","2","0","1","0","0","0","42","1"
"bournemouth","2010-11","league one","46","3","2","0","1","0","3","0","52","3"
"bournemouth","bournemouth total","bournemouth total","162","7","10","1","4","0","7","0","183","8"
"portsmouth","2011-12","championship","43","2","1","0","0","0","-","-","44","2"
"leeds united","2012-13","championship","33","0","3","0","5","0","-","-","41","0"
"leeds united","2013-14","championship","45","2","1","0","3","0","-","-","49","2"
"leeds united","2014-15","championship","21","0","0","0","2","0","-","-","23","0"
"leeds united","leeds united total","leeds united total","99","2","4","0","10","0","0","0","113","2"
"wigan athletic","2014-15","championship","16","2","0","0","-","-","-","-","16","2"
"wigan athletic","2015-16","league one","31","2","0","0","0","0","2","0","33","2"
"wigan athletic","wigan athletic total","wigan athletic total","47","4","0","0","0","0","2","0","49","4"
"charlton athletic","2016-17","league one","23","1","1","0","0","0","0","0","24","1"
"charlton athletic","2017-18","league one","25","2","0","0","1","0","3","0","29","2"
"charlton athletic","2018-19","league one","26","2","0","0","0","0","0","0","26","2"
"charlton athletic","charlton athletic total","charlton athletic total","74","5","1","0","1","0","3","0","79","5"
"career total","career total","career total","455","22","18","1","15","0","13","0","501","23"
