"regions","average annual growth","overall participation rate","overall participation rate","aged 55 and over / aged 15 and over","aged 55 and over / aged 15 and over","foreign-born persons","foreign-born persons","visible minorities","visible minorities","ratio in the labour force, aged 15 and over / not in the labour force, aged 65 and over","ratio in the labour force, aged 15 and over / not in the labour force, aged 65 and over"
"regions","2017 to 2036","2017","2036","2017","2036","2017","2036","2017","2036","2017","2036"
"regions","percent","percent","percent","percent","percent","percent","percent","percent","percent","ratio","ratio"
"atlantic cmas","0.2","65.9","60.4","19.5","27.8","8.4","14.7","7.0","13.3","3.9","2.3"
"atlantic, outside cmas","-0.5","58.4","53.2","25.1","31.6","4.5","9.0","2.6","6.1","2.5","1.6"
"montreal cma","1.2","67.6","65.3","18.6","23.3","29.6","39.3","23.5","37.1","4.2","3.3"
"other quebec cmas","0.0","63.8","57.4","20.5","25.3","6.2","10.4","3.7","7.3","3.0","1.8"
"quebec, outside cmas","-0.1","60.8","55.0","23.3","26.5","2.5","4.3","1.2","2.8","2.6","1.6"
"ottawa-gatineau cma","1.1","67.3","64.3","18.5","23.5","23.5","30.4","21.2","33.5","4.5","3.0"
"sudbury and thunder bay cmas","-0.5","60.4","55.5","21.3","27.5","5.6","6.4","3.2","5.9","3.0","1.8"
"toronto cma","1.5","66.9","65.5","20.0","25.6","53.2","57.0","50.6","65.6","4.7","3.6"
"other ontario cmas","0.7","64.8","61.5","20.6","26.3","19.8","23.7","13.9","23.6","3.7","2.5"
"ontario, outside cmas","0.1","60.0","57.7","24.5","27.3","6.9","7.2","2.4","4.1","2.7","1.9"
"winnipeg, regina and saskatoon cmas","1.5","68.5","67.5","19.3","23.0","25.0","43.3","23.1","43.9","4.6","3.7"
"manitoba and saskatchewan, outside cmas","0.4","65.4","64.3","25.2","27.9","10.8","21.8","5.3","14.5","3.5","2.8"
"alberta cmas","2.3","72.4","70.6","18.6","23.0","30.9","42.7","29.1","46.2","6.1","4.6"
"alberta, outside cmas","1.3","70.2","68.1","22.0","26.2","11.6","18.0","7.2","14.4","5.1","3.5"
"vancouver cma","1.4","67.4","62.7","20.0","24.7","46.4","52.8","47.6","61.6","4.5","3.0"
"other british columbia cmas","0.8","65.2","60.7","21.3","24.9","19.4","24.7","14.9","23.5","3.3","2.3"
"british columbia, outside cmas","0.2","62.1","56.8","24.6","26.8","11.1","13.6","5.1","8.5","2.8","1.9"
"territories","1.2","73.5","70.7","19.8","23.8","10.7","16.0","7.2","13.3","9.6","5.6"
