"club","season","league","league","league","domestic cups","domestic cups","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"jazz","2003","veikkausliiga","4","0","0","0","0","0","4","0"
"jazz","total","total","4","0","0","0","0","0","4","0"
"musa","2004","kakkonen","18","17","0","0","0","0","18","17"
"musa","total","total","18","17","0","0","0","0","18","17"
"vg-62","2004","ykkonen","2","1","0","0","0","0","2","1"
"vg-62","total","total","2","1","0","0","0","0","2","1"
"inter turku","2005","veikkausliiga","5","1","0","0","0","0","5","1"
"inter turku","2006","veikkausliiga","7","0","0","0","0","0","7","0"
"inter turku","2007","veikkausliiga","14","2","0","0","0","0","14","2"
"inter turku","2008","veikkausliiga","9","4","0","0","0","0","9","4"
"inter turku","2009","veikkausliiga","23","11","0","0","2","0","25","11"
"inter turku","2010","veikkausliiga","4","0","5","3","1","0","10","3"
"inter turku","2011","veikkausliiga","33","22","3","1","1","0","10","3"
"inter turku","total","total","95","40","8","4","4","0","107","44"
"fortuna dusseldorf","2011-12","2. bundesliga","9","0","0","0","0","0","9","0"
"fortuna dusseldorf","total","total","9","0","0","0","0","0","9","0"
"hallescher fc","2012-13","3. liga","16","8","0","0","0","0","16","8"
"hallescher fc","2013-14","3. liga","32","12","0","0","0","0","32","12"
"hallescher fc","2014-15","3. liga","35","12","0","0","0","0","35","12"
"hallescher fc","2015-16","3. liga","18","3","1","0","0","0","19","3"
"hallescher fc","2016-17","3. liga","2","0","0","0","0","0","2","0"
"hallescher fc","total","total","103","35","1","0","0","0","104","35"
"inter turku","2017","veikkausliiga","4","2","7","5","0","0","11","7"
"inter turku","total","total","4","2","7","5","0","0","11","7"
"career total","career total","career total","235","95","16","9","4","0","255","104"
