"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us country","us","can country","can","uk","aus","album"
"1962","it's all happening","-","-","-","-","-","-","n/a"
"1966","king of the whole wide world","-","-","-","-","-","-","n/a"
"1968","little arrows","11","16","1","8","2","2","little arrows"
"1969","it's all happening","-","-","-","-","-","90","n/a"
"1969","here comes the rain","-","-","-","62","-","80","leapy lee"
"1969","little yellow aeroplane","-","-","-","-","-","63","leapy lee"
"1970","good morning","55","-","-","-","29","96","leapy lee"
"1971","just another night","-","-","-","-","-","87","n/a"
"1973","helena","-","-","-","-","-","-","n/a"
"1974","every road leads back to you","82","-","-","-","-","-","every road leads back to you"
