"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total","ref"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","ref"
"mainz ii","2010-11","regionalliga west","1","0","-","-","1","0","","none","none","none","none"
"mainz ii","2011-12","regionalliga west","32","13","-","-","32","13","","none","none","none","none"
"mainz ii","totals","totals","33","13","-","-","33","13","-","none","none","none","none"
"borussia dortmund ii","2012-13","3. liga","28","2","-","-","28","2","","none","none","none","none"
"borussia dortmund ii","2013-14","3. liga","2","0","-","-","2","0","","none","none","none","none"
"borussia dortmund ii","2014-15","3. liga","2","0","-","-","2","0","","none","none","none","none"
"borussia dortmund ii","totals","totals","32","2","-","-","32","2","-","none","none","none","none"
"borussia dortmund","2013-14","bundesliga","19","0","3","0","7","0","0","0","29","0",""
"borussia dortmund","2014-15","bundesliga","18","1","4","0","5","0","1","0","28","1",""
"borussia dortmund","2015-16","bundesliga","14","1","3","0","3","0","-","-","20","1",""
"borussia dortmund","2016-17","bundesliga","13","0","0","0","1","0","0","0","14","0",""
"borussia dortmund","2017-18","bundesliga","0","0","0","0","0","0","0","0","0","0",""
"borussia dortmund","2018-19","bundesliga","0","0","0","0","0","0","-","-","0","0",""
"borussia dortmund","totals","totals","64","2","10","0","16","0","1","0","91","2","-"
"huddersfield town","2018-19","premier league","16","0","0","0","-","-","1","0","17","0",""
"career totals","career totals","career totals","145","17","10","0","16","0","2","0","173","17","-"
