"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"west bromwich albion","1983-84","first division","2","0","0","0","0","0","2","0"
"newport county","1984-85","third division","33","1","1","0","5","1","39","2"
"mansfield town","1985-86","fourth division","34","8","2","0","4","0","40","8"
"mansfield town","1986-87","third division","46","7","1","0","10","4","57","11"
"mansfield town","1987-88","third division","45","10","5","3","8","3","58","16"
"mansfield town","1988-89","third division","39","5","2","1","2","0","43","6"
"mansfield town","1989-90","third division","38","3","1","0","4","0","43","3"
"mansfield town","1990-91","third division","27","4","2","0","5","0","34","4"
"mansfield town","total","total","239","37","13","4","33","7","285","48"
"port vale","1990-91","second division","11","0","0","0","0","0","11","0"
"port vale","1991-92","second division","23","0","0","0","3","0","26","0"
"port vale","1992-93","second division","27","1","0","0","10","0","37","1"
"port vale","1993-94","second division","30","4","2","0","4","0","36","4"
"port vale","1994-95","first division","23","2","0","0","4","0","27","2"
"port vale","1995-96","first division","1","0","0","0","0","0","1","0"
"port vale","total","total","115","7","2","0","21","0","138","0"
"career total","career total","career total","379","45","16","4","59","8","454","57"
