"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gremio barueri","2008","serie b","15","4","0","0","0","0","0","0","15","4"
"gremio barueri","2009","serie a","16","2","0","0","0","0","0","0","16","2"
"gremio barueri","total","total","31","6","0","0","0","0","0","0","31","6"
"gremio barueri","2009","serie a","19","4","0","0","0","0","0","0","19","4"
"gremio barueri","total","total","19","4","0","0","0","0","0","0","19","4"
"sao paulo","2010","serie a","18","1","0","0","8","1","10","4","36","6"
"sao paulo","2011","serie a","19","1","4","1","3","0","13","4","39","6"
"sao paulo","2012","serie a","6","0","6","0","0","0","17","5","29","5"
"sao paulo","total","total","43","2","10","1","11","1","40","13","104","17"
"al-jazira","2012-13","arabian gulf league","24","5","10","4","6","0","0","0","40","9"
"al-jazira","total","total","24","5","10","4","6","0","0","0","40","9"
"atletico mineiro","2013","serie a","23","6","2","1","0","0","2","0","27","7"
"atletico mineiro","2014","serie a","6","1","0","0","7","1","7","0","20","2"
"atletico mineiro","total","total","29","7","2","1","7","1","9","0","47","9"
"gremio","2014","serie a","13","0","0","0","0","0","0","0","13","0"
"gremio","total","total","13","0","0","0","0","0","0","0","13","0"
"hellas verona","2014-15","serie a","6","0","0","0","0","0","0","0","16","0"
"hellas verona","total","total","6","0","0","0","0","0","0","0","6","0"
"gremio","2015","serie a","16","1","6","0","0","0","0","0","22","1"
"gremio","2016","serie a","0","0","0","0","2","0","6","1","8","1"
"gremio","total","total","16","1","6","0","2","0","6","1","30","2"
"flamengo","2016","serie a","25","3","2","0","4","1","0","0","31","4"
"flamengo","total","total","25","3","2","0","4","1","0","0","31","4"
"gremio","2017","serie a","28","9","5","0","13","1","2","0","48","10"
"gremio","total","total","28","9","5","0","13","1","2","0","48","10"
"chongqing lifan","2018","chinese super league","28","6","1","0","0","0","0","0","29","6"
"chongqing lifan","total","total","28","6","1","0","0","0","0","0","29","6"
"career total","career total","career total","240","39","35","6","43","4","57","14","375","63"
