"perceptions of safety","women","women","men","men","total","total"
"perceptions of safety","victims","non-victims","victims","non-victims","victims","non-victims"
"perceptions of safety","percent","percent","percent","percent","percent","percent"
"satisfaction with personal safety from crime","","","","","",""
"very satisfied","25","32","32","44","26","38"
"satisfied","42","53","39","47","41","50"
"neither satisfied nor dissatisfied","26","10","f","6","25","8"
"dissatisfied or very dissatisfied","7","3","f","2","8","3"
"feeling of safety when walking alone after dark","","","","","",""
"somewhat or very unsafe","28","11","f","4","25","7"
"reasonably safe","48","50","42","32","47","40"
"very safe","24","38","46","64","27","53"
"feeling of safety when using public transportation alone after dark","","","","","",""
"somewhat or very worried","64","48","f","21","59","33"
"not at all worried","35","50","62","78","39","66"
"feeling of safety when home alone after dark","","","","","",""
"somewhat or very worried","31","16","f","5","30","11"
"not at all worried","69","83","80","94","70","89"
