"demographic and socioeconomic characteristics","concurrent disorders","concurrent disorders","concurrent disorders","mood/anxiety disorder only","mood/anxiety disorder only","mood/anxiety disorder only","substance use disorder only","substance use disorder only","substance use disorder only"
"demographic and socioeconomic characteristics","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"demographic and socioeconomic characteristics","%","from","to","%","from","to","%","from","to"
"sex","","","","","","","","",""
"male","56.1","47.4","64.4","36.4","32.3","40.7","75.6","71.3","79.4"
"female","43.9","35.6","52.6","63.6","59.3","67.7","24.4","20.6","28.7"
"age group","","","","","","","","",""
"15 to 24","42.7","33.1","52.9","19.7","16.9","23.0","44.9","39.5","50.3"
"25 to 44","38.4","29.2","48.5","42.7","38.5","46.9","34.8","30.0","39.9"
"45 to 64","19.0","13.8","25.5","37.6","33.7","41.6","20.3","15.7","26.0"
"marital status","","","","","","","","",""
"married/common-law","26.9","19.0","36.5","45.6","41.5","49.7","34.7","29.0","40.9"
"widowed, separated, divorced","12.1","8.2","17.3","15.7","12.6","19.4","3.7","2.6","5.3"
"single, never married","61.0","51.2","69.9","38.4","34.5","42.5","61.5","55.4","67.1"
"highest level of household education","","","","","","","","",""
"secondary school graduation or less","20.5","13.8","29.2","15.2","12.7","18.1","18.0","14.3","22.4"
"at least some postsecondary","69.2","59.4","77.6","76.1","72.5","79.4","73.7","68.8","78.1"
"employment status","","","","","","","","",""
"employed","59.6","50.3","68.3","52.1","48.1","56.2","72.8","68.1","77.0"
"unemployed","33.7","25.7","42.8","37.3","33.3","41.4","24.3","20.4","28.7"
"not in labour force","6.5","4.0","10.5","10.3","8.0","13.1","f","..",".."
"household income adequacy quintile","","","","","","","","",""
"1 and 2","53.0","43.6","62.2","53.2","48.9","57.4","35.1","30.3","40.2"
"3","18.9","12.5","27.5","18.1","15.1","21.4","17.8","14.1","22.3"
"4 and 5","28.1","20.1","37.8","28.8","25.2","32.6","47.1","41.5","52.7"
