"province or territory","revised average share of national gross domestic product","previously published average share of national gross domestic product","revised share of national gross domestic product","previously published share of national gross domestic product"
"province or territory","percent","percent","percent","percent"
"newfoundland and labrador","1.5","1.5","1.8","1.9"
"prince edward island","0.3","0.3","0.3","0.3"
"nova scotia","2.3","2.3","2.0","2.1"
"new brunswick","1.9","1.9","1.7","1.7"
"quebec","20.8","20.8","19.1","19.2"
"ontario","39.4","39.2","36.6","36.8"
"manitoba","3.3","3.3","3.3","3.2"
"saskatchewan","3.5","3.5","4.4","4.4"
"alberta","14.4","14.3","18.2","17.9"
"british columbia","12.3","12.2","12.0","12.1"
"yukon","0.1","0.1","0.1","0.1"
"northwest territories","0.4","0.4","0.2","0.2"
"nunavut","0.1","0.1","0.1","0.1"
