"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"alvear","2011-12","torneo argentino b","13","0","0","0","-","-","0","0","13","0"
"olimpo","2014","primera division","5","0","0","0","-","-","0","0","5","0"
"olimpo","2015","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2016","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2016-17","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","2017-18","primera division","0","0","0","0","-","-","0","0","0","0"
"olimpo","total","total","5","0","0","0","-","-","0","0","5","0"
"guillermo brown","2015","primera b nacional","27","2","0","0","-","-","1","0","28","2"
"ferro carril oeste","2016","torneo federal a","11","3","0","0","-","-","4","1","15","4"
"alvarado","2016-17","torneo federal a","24","5","2","0","-","-","2","1","28","6"
"alvarado","2017-18","torneo federal a","20","4","3","1","-","-","4","1","27","6"
"alvarado","total","total","44","9","5","1","-","-","6","2","55","12"
"almagro","2018-19","primera b nacional","9","2","3","1","-","-","0","0","12","3"
"career total","career total","career total","109","16","8","2","-","-","11","3","128","21"
