"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lanus","2015","primera division","21","4","5","2","4","0","3","0","33","6"
"lanus","2016","primera division","1","0","0","0","-","-","0","0","1","0"
"lanus","2016-17","primera division","0","0","0","0","0","0","0","0","0","0"
"lanus","2017-18","primera division","0","0","0","0","0","0","0","0","0","0"
"lanus","2018-19","primera division","0","0","0","0","0","0","0","0","0","0"
"lanus","total","total","22","4","5","2","4","0","3","0","34","6"
"defensa y justicia","2016-17","primera division","3","0","0","0","0","0","0","0","3","0"
"san martin","2017-18","primera b nacional","19","4","0","0","-","-","5","0","24","4"
"alki oroklini","2018-19","first division","0","0","0","0","-","-","0","0","0","0"
"guillermo brown","2018-19","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"career total","career total","career total","44","8","5","2","4","0","8","0","61","10"
