"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sunderland","1983-84","first division","8","1","0","0","0","0","8","1"
"sunderland","1984-85","first division","9","1","0","0","1","0","10","0"
"sunderland","1985-86","second division","13","0","3","0","2","0","15","0"
"sunderland","1986-87","second division","5","0","0","0","4","0","9","0"
"sunderland","1987-88","third division","21","3","2","2","4","0","27","5"
"sunderland","total","total","60","5","5","2","11","0","76","7"
"port vale","1988-89","third division","4","3","0","0","2","0","6","3"
"port vale","1989-90","second division","0","0","0","0","0","0","0","0"
"port vale","1990-91","second division","0","0","0","0","0","0","0","0"
"port vale","total","total","4","3","0","0","2","0","6","3"
"hartlepool united","1989-90","fourth division","1","1","0","0","0","0","11","1"
"career total","career total","career total","75","9","5","2","13","0","93","11"
