"club","season","league","league","league","national cup","national cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"partick thistle","1935-36","scottish first division","19","6","1","0","20","6"
"partick thistle","1936-37","scottish first division","33","20","4","1","37","21"
"partick thistle","1937-38","scottish first division","35","20","4","4","39","24"
"partick thistle","1938-39","scottish first division","34","24","2","1","36","25"
"partick thistle","total","total","121","70","11","6","131","76"
"raith rovers","1936-37","scottish second division","1","1","-","-","1","1"
"west bromwich albion","1947-48","second division","11","4","1","0","12","4"
"leicester city","1947-48","second division","11","4","-","-","11","4"
"leicester city","1948-49","second division","7","3","-","-","7","3"
"leicester city","total","total","18","7","-","-","18","7"
"brentford","1948-49","second division","24","6","4","3","28","9"
"middlesbrough","1949-50","first division","33","15","3","1","36","16"
"middlesbrough","1950-51","first division","7","3","0","0","7","3"
"middlesbrough","total","total","40","18","3","1","43","19"
"career total","career total","career total","215","106","19","10","234","116"
