"characteristics","sexual assault","sexual assault","robbery","robbery","physical assault","physical assault","total violent victimization","total violent victimization","theft of personal property","theft of personal property"
"characteristics","number","rate","number","rate","number","rate","number","rate","number","rate"
"physically or sexually assaulted by an adult before age 15","","","","","","","","","",""
"no","285","15","79","4","710","36","1,073","55","1,245","63"
"yes","312","36","109","12","676","77","1,097","125","861","98"
"childhood victimization: slapped/hit by an adult","","","","","","","","","",""
"never","377","17","95","4","822","38","1,294","59","1,432","66"
"1 or 2 times","85","30","f","f","171","60","296","104","231","81"
"3 to 10 times","63","31","f","f","162","80","246","122","186","92"
"more than 10 times","74","38","31","16","234","120","340","174","274","140"
"childhood victimization: pushed/grabbed/shoved by an adult","","","","","","","","","",""
"never","404","17","123","5","979","41","1,506","63","1,610","67"
"1 or 2 times","72","35","f","f","143","70","231","112","173","84"
"3 to 10 times","58","46","f","f","95","75","174","138","138","110"
"more than 10 times","63","55","28","25","171","148","263","227","206","178"
"childhood victimization: kicked/punched/choked by an adult","","","","","","","","","",""
"never","509","19","148","6","1,157","43","1,814","68","1,853","69"
"1 or 2 times","f","f","f","f","75","77","113","117","82","85"
"3 to 10 times","f","f","f","f","41","78","78","148","75","143"
"more than 10 times","f","f","25","42","126","212","185","312","116","196"
"childhood victimization: forced into unwanted sex. activity by adult","","","","","","","","","",""
"never","489","18","160","6","1,237","45","1,886","68","1,950","71"
"1 or 2 times","f","f","f","f","89","121","184","252","85","116"
"3 to 10 times","f","f","f","f","25","93","45","170","f","f"
"more than 10 times","f","f","f","f","f","f","f","349","70","282"
"childhood victimization: touched in a sexual way by adult","","","","","","","","","",""
"never","445","17","154","6","1,171","44","1,770","67","1,878","71"
"1 or 2 times","64","47","f","f","108","78","189","138","115","84"
"3 to 10 times","f","f","f","f","30","68","58","133","45","103"
"more than 10 times","f","f","f","f","93","253","163","441","90","243"
"mental/psychological disability","","","","","","","","","",""
"no","444","16","140","5","1,208","44","1,792","66","1,951","72"
"yes","165","95","48","27","197","113","410","236","193","111"
"learning disability","","","","","","","","","",""
"no","524","19","149","5","1,268","45","1,942","69","2,012","72"
"yes","86","82","f","37","138","132","263","250","138","131"
"self-rated mental health","","","","","","","","","",""
"excellent","113","10","68","6","380","33","562","49","801","70"
"very good","128","13","49","5","419","44","596","62","643","67"
"good","182","28","39","6","353","54","574","88","474","73"
"fair","140","111","29","23","202","160","370","293","208","165"
"poor","f","f","f","f","50","180","100","358","24","86"
"used drugs during the month preceding the survey","","","","","","","","","",""
"no","465","17","137","5","1,083","40","1,685","62","1,793","66"
"yes","145","71","51","25","324","159","520","256","351","173"
"cannabis - not everyday","80","52","f","f","197","127","308","199","248","160"
"cannabis - everyday","63","144","f","f","111","256","190","436","98","224"
"other drug - at least once","46","235","f","f","57","289","120","610","49","249"
"5 or more alcoholic drinks in one sitting (binge drinking) during the month preceding the survey","","","","","","","","","",""
"none","348","16","98","5","796","37","1,241","58","1,367","64"
"at least once","261","35","90","12","609","81","961","127","769","102"
"number of evening activities during the month preceding the survey","","","","","","","","","",""
"none","f","f","f","f","50","24","70","34","54","27"
"1 to 10","116","10","41","4","320","28","476","42","639","57"
"11 to 20","159","19","59","7","417","51","635","77","640","78"
"21 or more","329","45","79","11","616","85","1,024","141","801","110"
"ever been homeless","","","","","","","","","",""
"no","565","20","167","6","1,301","46","2,033","71","2,019","71"
"yes","f","f","21","44","107","222","173","358","125","258"
"had to temporarily live with family/friends/car, because nowhere else to live","","","","","","","","","",""
"no","480","18","145","5","1,152","43","1,777","66","1,846","69"
"yes","130","56","44","19","256","111","429","186","298","129"
