"type of child care","total - 1 to 9 years","total - 1 to 9 years","1 to 2 years","1 to 2 years","3 to 5 years","3 to 5 years","6 to 9 years","6 to 9 years"
"type of child care","females","males","females","males","females","males","females","males"
"type of child care","percent","percent","percent","percent","percent","percent","percent","percent"
"daycare centre","31.9","31.7","45.3","46.7","43.3","40.5","10.7","10.0"
"care in someone else's home","29.7","30.1","37.9","36.6","25.8","27.3","28.0","28.3"
"by a non-relative","20.4","20.8","29.1","28.2","18.4","20.7","16.5","15.0"
"by a relative","9.3","9.4","8.8","8.4","7.4","6.7","11.5","13.2"
"care in child's own home","12.9","13.3","11.9","12.3","10.5","10.8","16.3","16.9"
"by a non-relative","6.8","7.0","6.0","5.8","5.5","5.8","8.6","9.3"
"by a relative","6.2","6.3","5.9","6.5","4.9","4.9","7.6","7.6"
"nursery school or preschool","5.2","4.7","4.2","f","10.8","10.2","0.0","0.0"
"before- and after-school program","18.8","18.2","0.0","0.0","9.3","9.5","41.3","42.4"
"other child care arrangement","f","1.9","f","f","f","f","f","f"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
