"","black youth","other youth"
"","percent","percent"
"place of birth","",""
"canada","82","92"
"other country","18","8"
"parents' place of birth","",""
"canada","11","71"
"other country","89","29"
"parents' highest level of education","",""
"no high school diploma","8","7"
"high school diploma","15","17"
"postsecondary diploma below the bachelor level","54","46"
"bachelor's degree","16","21"
"diploma or certificate above the bachelor level","7","9"
"family income quintile","",""
"first","37","20"
"second","22","20"
"third","18","20"
"fourth","13","20"
"fifth","9","20"
"at least one parent works full-time","",""
"no","22","8"
"yes","78","92"
"dwelling","",""
"renter","44","17"
"owner; value of dwelling less than $100,000","4","10"
"owner; value of dwelling between $100,000 and $250,000","23","35"
"owner; value of dwelling more than $250,000","29","37"
"family structure","",""
"married couple","50","73"
"common-law couple","6","10"
"lone parent","45","17"
"residential stability over the last five years","",""
"moved","48","34"
"did not move","52","66"
"type of area of residence","",""
"outside cma and ca","3","19"
"census agglomeration","3","13"
"census metropolitan area","95","69"
"area of residence","",""
"atlantic","3","7"
"quebec","23","25"
"ontario","63","39"
"prairies","3","7"
"alberta","5","11"
"british columbia","3","11"
"territories","0.1","0.2"
"english-french bilingualism","",""
"no","77","80"
"yes","23","20"
"age","",""
"9 years","12","11"
"10 years","14","11"
"11 years","13","12"
"12 years","13","11"
"13 years","11","11"
"14 years","11","11"
"15 years","9","11"
"16 years","9","11"
"17 years","9","10"
