"club","season","league","league","league","federation cup","federation cup","durand cup/super cup","durand cup/super cup","afc","afc","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sporting goa","2011-12","i-league","1","0","3","0","2","0","-","-","6","0"
"sporting goa","2012-13","i-league","12","0","3","0","3","0","-","-","18","0"
"sporting goa","2013-14","i-league","21","3","5","0","0","0","-","-","26","3"
"sporting goa","2014-15","i-league","13","0","4","0","0","0","-","-","17","0"
"sporting goa","2015-16","i-league","12","0","3","0","5","0","-","-","20","0"
"sporting goa","sporting goa total","sporting goa total","59","3","16","0","10","0","0","0","85","3"
"northeast united","2016","indian super league","13","0","-","-","-","-","-","-","13","0"
"northeast united","2017-18","indian super league","16","0","-","-","1","0","-","-","17","0"
"northeast united","2018-19","indian super league","3","2","-","-","-","-","-","-","3","2"
"northeast united total","northeast united total","29","0","0","0","1","0","0","0","30","0",""
"east bengal","2016-17","i-league","12","1","4","0","-","-","-","-","16","1"
"career total","career total","career total","100","4","20","0","11","0","0","0","131","4"
