"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"villa del parque","2006-07","torneo argentino b","26","16","0","0","-","-","0","0","26","16"
"alvarado","2007-08","torneo argentino b","31","17","0","0","-","-","0","0","31","17"
"alvarado","2008-09","torneo argentino a","24","6","0","0","-","-","0","0","24","6"
"alvarado","total","total","55","23","0","0","-","-","0","0","55","23"
"santamarina","2009-10","torneo argentino a","33","8","0","0","-","-","0","0","33","8"
"tigre","2010-11","primera division","20","1","0","0","-","-","0","0","20","1"
"quilmes","2011-12","primera b nacional","23","11","0","0","-","-","0","0","23","11"
"quilmes","2012-13","primera division","20","0","1","1","-","-","0","0","21","1"
"quilmes","2013-14","primera division","27","2","1","1","-","-","0","0","28","3"
"quilmes","total","total","70","13","2","2","-","-","0","0","72","15"
"colon","2014","primera b nacional","16","1","1","0","-","-","0","0","17","1"
"santamarina","2015","primera b nacional","36","20","1","0","-","-","3","2","40","22"
"patronato","2016","primera division","16","3","0","0","-","-","0","0","16","3"
"patronato","2016-17","primera division","23","4","3","0","-","-","0","0","26","4"
"patronato","total","total","39","7","3","0","-","-","0","0","42","7"
"aldosivi","2017-18","primera b nacional","23","12","1","0","-","-","0","0","24","12"
"aldosivi","2018-19","primera division","7","0","1","0","-","-","0","0","8","0"
"aldosivi","total","total","30","12","2","0","-","-","0","0","32","12"
"santamarina","2018-19","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"career total","career total","career total","325","101","9","2","-","-","3","2","337","105"
