"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"portsmouth","1922-23","third division south","21","0","0","0","21","0"
"portsmouth","1923-24","third division south","33","0","4","0","37","0"
"portsmouth","1924-25","second division","41","0","4","0","45","0"
"portsmouth","1925-26","second division","40","0","3","0","43","0"
"portsmouth","1926-27","second division","42","2","3","0","45","2"
"portsmouth","1927-28","first division","24","1","1","0","25","1"
"portsmouth","total","total","201","3","15","0","216","3"
"brentford","1928-29","third division south","36","0","2","0","38","0"
"brentford","1929-30","third division south","42","0","1","0","43","0"
"brentford","1930-31","third division south","38","0","4","0","42","0"
"brentford","total","total","116","0","7","0","123","0"
"career total","career total","career total","116","0","7","0","123","0"
