"jurisdiction","total custody","total custody","total community supervision","total community supervision","total correctional services","total correctional services"
"jurisdiction","number","percent change from 2015/2016","number","percent change from 2015/2016","number","percent change from 2015/2016"
"newfoundland and labrador","81","-23","158","-7","239","-13"
"prince edward island","37","-36","141","-28","178","-30"
"new brunswick","197","-35","285","-31","482","-32"
"ontario","3,290","-4","3,144","-7","6,434","-5"
"manitoba","2,536","-3","1,797","5","4,333","0"
"saskatchewan","1,721",".","2,398",".","4,119","."
"british columbia","873","-17","2,174","-23","3,047","-22"
"yukon","45","-54","34","-48","79","-52"
"northwest territories","38","46","41","17","79","30"
"nunavut","39","63","40","100","79","80"
"total-all jurisdictions","8,857","-8","10,212","-11","19,069","-10"
