"activity and need for help","global severity class","global severity class","global severity class","global severity class","global severity class"
"activity and need for help","total","mild","moderate","severe","very severe"
"activity and need for help","percent","percent","percent","percent","percent"
"heavy household chores","","","","",""
"does not need help","41.0","57.6","50.7","33.1","20.0"
"receives enough help","29.2","25.0","25.7","35.6","31.4"
"needs help but does not receive it","9.9","8.5","8.8","9.2","13.1"
"does not receive enough help","19.9","9.0","14.8","22.1","35.5"
"getting to appointments/ running errands","","","","",""
"does not need help","58.8","80.1","69.4","51.8","30.8"
"receives enough help","23.1","12.6","19.2","27.0","35.4"
"needs help but does not receive it","4.6","3.0","4.2","3.9","7.3"
"does not receive enough help","13.5","4.3","7.2","17.3","26.5"
"everyday housework","","","","",""
"does not need help","55.2","77.3","66.3","47.6","26.2"
"receives enough help","22.9","14.4","19.2","29.1","30.6"
"needs help but does not receive it","9.7","5.6","7.4","9.9","16.3"
"does not receive enough help","12.2","2.6","7.1","13.4","26.9"
