"","agricultural region 1","agricultural region 1","agricultural region 3","agricultural region 3","agricultural region 4","agricultural region 4"
"","french-language workers","english-language workers","french-language workers","english-language workers","french-language workers","english-language workers"
"","percent","percent","percent","percent","percent","percent"
"place of birth","","","","","",""
"born in the province of residence","86.1","84.6","82.1","78.3","92.8","76.6"
"born in a different province","7.5","8.0","14.9","17.8","7.2","23.4"
"born outside of canada","6.4","7.2","0.0","3.8","0.0","0.0"
"religion","","","","","",""
"anglican","0.0","8.3","0.0","12.7","0.0","0.0"
"catholic","93.6","15.0","92.5","19.1","96.4","59.4"
"pentecostal","2.7","7.8","0.0","0.0","0.0","0.0"
"presbyterian","0.0","0.0","0.0","0.0","0.0","0.0"
"united church","0.0","11.5","0.0","25.5","0.0","21.9"
"other christian","0.0","37.4","0.0","25.5","0.0","0.0"
"buddhist, hindu, jewish, muslim and sikh","0.0","0.0","0.0","0.0","0.0","0.0"
"other religions","0.0","0.0","0.0","0.0","0.0","0.0"
"no religious affiliation","3.7","18.3","0.0","15.9","0.0","7.8"
