"selected characteristics","number of precautionary measures in the household:","number of precautionary measures in the household:","number of precautionary measures in the household:"
"selected characteristics","none","1 to 2","3 to 4"
"selected characteristics","percent","percent","percent"
"sex","","",""
"male","15","55","29"
"female","17","54","25"
"age group","","",""
"15 to 24","15","51","29"
"25 to 34","24","57","17"
"35 to 44","17","55","27"
"45 to 54","15","54","30"
"55 to 64","11","56","32"
"65 and older","13","55","28"
"immigrant status","","",""
"canadian-born","14","54","31"
"established immigrant","20","58","21"
"recent immigrant","26","60","10"
"visible minority status","","",""
"visible minority","22","58","17"
"not a visible minority","14","55","30"
"aboriginal identity","","",""
"aboriginal","12","47","39"
"non-aboriginal","16","56","27"
"activity-limitation - long-term physical condition","","",""
"yes","16","54","28"
"no","15","56","27"
"activity-limitation - long-term psychological, emotional or mental health condition","","",""
"yes","20","56","21"
"no","15","55","28"
"household income","","",""
"less than $20,000","26","54","18"
"$20,000 to less than $40,000","20","55","23"
"$40,000 to less than $60,000","19","54","26"
"$60,000 to less than $80,000","16","55","27"
"$80,000 to less than $100,000","12","57","30"
"$100,000 to less than $150,000","15","55","29"
"$150,000 and over","10","56","32"
"tenure","","",""
"own","13","55","31"
"rent","27","56","13"
"household size","","",""
"1 person","24","56","16"
"2 persons","14","56","29"
"3 persons","14","56","28"
"4 persons","16","53","27"
"5 persons or more","14","50","32"
"household composition","","",""
"household with senior(s)","13","55","29"
"household without senior(s)","16","54","27"
"household with child(ren)","16","55","26"
"household without child(ren)","16","54","27"
"total","16","55","27"
