"club","season","division","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stabæk","2011","tippeligaen","11","0","0","0","-","-","11","0"
"stabæk","2012","tippeligaen","27","5","3","4","-","-","30","9"
"stabæk","2013","1. divisjon","26","7","3","3","-","-","29","10"
"stabæk","2014","tippeligaen","30","10","6","3","-","-","36","13"
"stabæk","total","total","94","22","12","10","-","-","106","32"
"aik","2015","allsvenskan","27","5","3","2","5","0","35","7"
"aik","2016","allsvenskan","11","2","3","1","0","0","14","3"
"aik","total","total","38","7","6","3","5","0","49","10"
"molde","2016","tippeligaen","9","2","0","0","0","0","9","2"
"molde","2017","eliteserien","27","8","5","3","-","-","32","11"
"molde","2018","eliteserien","16","1","2","1","2","0","20","2"
"molde","total","total","52","11","7","4","2","0","65","15"
"hamilton","2018-19","scottish premiership","15","1","0","0","0","0","15","1"
"hamilton","total","total","15","1","0","0","0","0","15","1"
"mjøndalen","2019","eliteserien","3","0","0","0","0","0","3","0"
"mjøndalen","total","total","3","0","0","0","0","0","3","0"
"career total","career total","career total","202","41","25","17","7","0","234","58"
