"rank","state or location","total","dhs","doc","dod","doe","doi","dot","epa","hhs","nasa","nsf","usda"
"","all locations","125846","731","1330","60891","11389","800","855","515","30006","11344","5648","2337"
"1","maryland","16751","72","708","5727","52","85","26","16","7983","1608","291","182"
"2","california","15281","66","26","5983","2148","67","39","11","3402","2643","762","134"
"3","virginia","7487","90","14","5778","153","96","171","59","364","554","186","22"
"4","massachusetts","6055","78","33","2764","141","12","58","16","2372","178","377","26"
"5","texas","5574","19","8","2371","104","22","34","7","961","1691","273","85"
"6","new york","4567","31","23","935","1000","12","21","5","1996","103","395","47"
"7","alabama","4538","5","1","2924","29","2","13","0","295","1220","23","26"
"8","district of columbia","4222","48","33","2385","604","22","132","76","231","143","192","356"
"9","pennsylvania","3710","3","3","1245","563","4","25","1","1525","34","241","66"
"10","new mexico","3543","47","4","1120","2156","6","4","1","95","37","60","13"
"","all other states or locationsa, b","54118","272","478","29658","4440","472","333","322","10783","3132","2847","1380"
