"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"nottingham forest","2001-02","first division","8","0","0","0","0","0","0","0","8","0"
"nottingham forest","2002-03","first division","11","1","0","0","2","0","0","0","13","1"
"nottingham forest","2003-04","first division","3","0","1","0","0","0","0","0","4","0"
"nottingham forest","2004-05","championship","1","0","0","0","0","0","-","-","0","0"
"nottingham forest","nottingham forest total","nottingham forest total","23","1","1","0","2","0","0","0","26","1"
"lincoln city","2004-05","league two","6","1","0","0","0","0","0","0","6","1"
"milton keynes dons","2004-05","league one","4","0","0","0","0","0","0","0","4","0"
"cambridge united","2005-06","conference national","31","8","0","0","-","-","3","0","34","8"
"kettering town","2006-07","conference north","?","?","?","?","-","-","?","?","?","?"
"kettering town","2007-08","conference north","?","?","?","?","-","-","?","?","?","?"
"kettering town","2008-09","conference premier","39","4","5","4","-","-","1","0","45","8"
"notts county","2009-10","league two","42","9","6","1","1","0","1","1","50","11"
"notts county","2010-11","league one","41","12","4","1","3","0","1","0","49","13"
"notts county","2011-12","league one","4","0","0","0","1","1","0","0","5","1"
"notts county","total","total","87","21","10","2","5","1","2","1","104","25"
"chesterfield","2011-12","league one","38","8","1","0","0","0","4","3","43","11"
"chesterfield","2012-13","league two","15","2","1","1","1","0","1","0","18","3"
"chesterfield","total","total","53","10","2","1","1","0","5","3","61","14"
"walsall","2012-13","league one","24","5","0","0","0","0","0","0","24","5"
"walsall","2013-14","league one","43","14","2","2","2","1","1","0","48","17"
"walsall","total","total","67","19","2","2","2","1","1","0","72","22"
"portsmouth","2014-15","league two","33","6","2","0","1","0","1","1","37","7"
"mansfield town","2015-16","league two","24","3","1","0","1","0","1","1","27","4"
"southport","2015-16","national league","11","2","-","-","0","0","11","2","none","none"
"alfreton town","2016-17","national league north","39","13","3","3","-","-","2","0","44","16"
"alfreton town","2017-18","national league north","19","9","0","0","-","-","0","0","19","9"
"alfreton town","total","total","58","22","3","3","0","0","2","0","63","25"
"career totals","career totals","career totals","436","97","26","12","12","2","16","6","490","117"
