"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us dance","aus","ire","nor","swe","uk","album"
"1991","peace","-","24","14","-","23","8","peace"
"1991","friendship","30","64","-","9","-","58","peace"
"1992","i wanna sing","-","115","-","-","-","46","peace"
"1992","gypsy woman / peace remixes","-","-","-","-","-","35","red hot + dance"
"1993","you got me","-","-","-","-","-","-","singles only"
"1994","satisfy my love","-","-","-","-","-","62","singles only"
"1995","free, gay & happy","-","152","-","-","-","50","singles only"
"1998","reasons","31","-","-","-","-","-","yum yum"
"2001","lift you up","-","-","-","-","-","-","single only"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
