"farm size","all farms","farms with woodlands and wetlands","farms with woodlands and wetlands","woodlands and wetlands","woodlands and wetlands","woodlands and wetlands"
"farm size","all farms","farms with woodlands and wetlands","farms with woodlands and wetlands","area","average area per farm","as a percentage of agricultural land area"
"farm size","number","number","percent","hectares","hectares","percent"
"all farms","205,730","102,744","49.9","4,897,367","47.7","7.6"
"under 100","105,169","50,058","47.6","722,610","14.4","18.4"
"100 to 199","34,182","19,864","58.1","765,816","38.6","15.5"
"200 to 299","15,226","8,552","56.2","509,738","59.6","13.5"
"300 to 399","10,730","5,684","53.0","393,563","69.2","10.5"
"400 to 499","6,650","3,305","49.7","272,839","82.6","9.2"
"500 to 749","11,918","5,797","48.6","517,592","89.3","7.1"
"750 to 999","7,075","3,262","46.1","369,410","113.2","6.1"
"1,000 to 1,999","10,145","4,547","44.8","692,727","152.3","5.0"
"2,000 or more","4,635","1,675","36.1","653,073","389.9","3.6"
