"","women","women","women","men","men","men"
"","risk ratio","95% confidence interval","95% confidence interval","risk ratio","95% confidence interval","95% confidence interval"
"","risk ratio","from","to","risk ratio","from","to"
"socio-demographic characteristics","","","","","",""
"60 to 69 years","1.21","1.11","1.33","1.13","1.02","1.26"
"married/common-law","0.97","0.87","1.08","1.06","0.96","1.17"
"in lowest income quintile","1.08","0.97","1.20","0.91","0.81","1.03"
"white","1.15","0.93","1.43","1.19","1.01","1.40"
"health behaviours","","","","","",""
"current smoker","1.07","0.89","1.28","0.99","0.86","1.14"
"less than 150 minutes/week in moderate-to-vigorous physical activity","1.08","0.87","1.33","1.00","0.85","1.18"
"eats fruits or vegetables less than 5 times per day","0.96","0.86","1.08","0.99","0.89","1.10"
"co-morbidity","","","","","",""
"overweight or obese","0.97","0.81","1.16","1.00","0.90","1.11"
"diabetes","0.70","0.60","0.83","0.76","0.68","0.84"
"chronic kidney disease","0.98","0.84","1.15","1.00","0.91","1.11"
"non-hdl cholesterol 4.3 mmol/l or more","0.91","0.77","1.07","0.98","0.87","1.10"
"cardiovascular disease","1.01","0.89","1.16","1.10","1.01","1.21"
"family history","","","","","",""
"high blood pressure","0.97","0.85","1.12","0.99","0.89","1.10"
"early cardiovascular disease","1.07","0.94","1.21","1.04","0.94","1.14"
"medication use","","","","","",""
"monotherapy","1.03","0.90","1.18","1.01","0.92","1.10"
"non-steroidal anti-inflammatory and antirheumatic","0.99","0.87","1.11","0.85","0.75","0.97"
