"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","us","us ac","us pop","us dance","aus","can","ger","nld","nz","uk","certifications","album"
"1996","i want you back","13","-","7","17","11","2","10","22","5","5","us: gold aus: gold","*nsync"
"1997","tearin' up my heart","59","-","6","-","20","3","4","31","19","9","uk: silver","*nsync"
"1997","here we go","-","-","-","-","-","-","8","66","-","-","","*nsync"
"1997","for the girl who has everything","-","-","-","-","-","-","32","-","-","-","","*nsync"
"1997","together again","-","-","-","-","-","-","31","-","-","-","","*nsync"
"1998","u drive me crazy","-","-","-","-","-","-","30","-","-","-","","the winter album"
"1998","merry christmas, happy holidays","-","-","37","-","-","-","57","-","-","-","","the winter album"
"1999","(god must have spent) a little more time on you","8","2","5","-","46","3","-","-","-","-","","*nsync"
"1999","thinking of you","67","-","14","-","-","16","71","15","-","-","","*nsync"
"1999","music of my heart","2","2","21","-","-","7","-","58","-","34","us: gold","music of the heart ost"
"2000","bye bye bye","4","25","1","-","1","1","4","4","1","3","uk: gold aus: platinum","no strings attached"
"2000","it's gonna be me","1","-","1","33","11","1","39","30","7","9","us: gold aus: platinum","no strings attached"
"2000","i'll never stop","-","-","-","-","-","-","23","28","-","13","","no strings attached"
"2000","this i promise you","5","1","4","38","42","8","56","80","32","21","","no strings attached"
"2001","pop","19","-","5","40","10","1","30","32","19","9","aus: gold","celebrity"
"2001","gone","11","27","7","-","67","28","62","-","-","24","","celebrity"
"2002","girlfriend","5","-","5","-","2","1","6","8","13","2","uk: silver aus: gold","celebrity"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
