"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"parma","2005-06","serie a","17","0","4","0","--","--","21","0"
"parma","2006-07","serie a","21","1","4","1","6","0","31","2"
"parma","2007-08","serie a","32","3","0","0","-","-","32","3"
"parma","total","total","70","4","8","1","6","0","84","5"
"atalanta","2008-09","serie a","23","3","1","0","--","--","24","3"
"atalanta","total","total","23","3","1","0","0","0","24","3"
"napoli","2009-10","serie a","28","2","1","0","--","--","29","2"
"napoli","total","total","28","2","1","0","0","0","29","2"
"sevilla","2010-11","la liga","6","0","4","1","6","2","16","3"
"sevilla","total","total","6","0","4","1","6","2","16","3"
"atalanta","2011-12","serie a","32","1","0","0","--","--","32","1"
"atalanta","2012-13","serie a","27","2","2","0","--","--","29","2"
"atalanta","2013-14","serie a","33","2","3","0","--","--","36","2"
"atalanta","2014-15","serie a","33","0","1","1","--","--","34","1"
"atalanta","2015-16","serie a","25","2","1","0","--","--","26","2"
"atalanta","total","total","150","7","7","1","0","0","157","8"
"sampdoria","2016-17","serie a","4","0","3","0","--","--","7","0"
"sampdoria","total","total","4","0","3","0","0","0","7","0"
"cagliari","2017-18","serie a","26","2","1","0","--","--","27","2"
"cagliari","2018-19","serie a","15","0","3","0","--","--","18","0"
"cagliari","total","total","41","2","4","0","0","0","45","2"
"career total","career total","career total","322","18","28","3","12","2","362","23"
