"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"petrovac","2009-10","montenegrin first league","24","7","none","none","3","2","-","-","27","9"
"petrovac","2010-11","montenegrin first league","17","7","2","1","-","-","19","8","none","none"
"petrovac","total","total","41","14","2","1","3","2","-","-","46","17"
"buducnost podgorica","2010-11","montenegrin first league","10","0","0","0","-","-","10","0","none","none"
"buducnost podgorica","2011-12","montenegrin first league","7","1","0","0","0","0","-","-","7","1"
"buducnost podgorica","total","total","17","1","0","0","-","-","-","-","17","1"
"mladost podgorica","2011-12","montenegrin first league","12","5","0","0","-","-","15","5","none","none"
"mladost podgorica","2012-13","montenegrin first league","9","2","0","0","-","-","9","2","none","none"
"mladost podgorica","total","total","21","7","0","0","-","-","-","-","21","7"
"mornar","2012-13","montenegrin first league","12","8","0","0","-","-","2","2","14","10"
"mornar","2013-14","montenegrin first league","13","8","0","0","-","-","13","8","none","none"
"mornar","total","total","25","16","0","0","-","-","2","2","27","18"
"maccabi petah tikva","2013-14","israeli premier league","4","0","2","2","-","-","6","2","none","none"
"mornar","2014-15","montenegrin first league","11","9","2","0","-","-","13","9","none","none"
"okzhetpes","2015","kazakhstan premier league","31","13","2","2","-","-","33","15","none","none"
"dinamo minsk","2016","belarusian premier league","16","5","1","0","6","0","-","-","23","5"
"ansan greeners","2017","k league 2","9","1","1","0","-","-","10","1","none","none"
"career total","career total","career total","175","66","10","5","9","2","2","2","196","75"
