"characteristics","women","men","total"
"characteristics","rate","rate","rate"
"number of evening activities per month","","",""
"0 to 10","15","f","10"
"11 to 20","35","f","19"
"21 or more","97","8","45"
"going to work, night classes, meetings or volunteering in the evening","","",""
"less than once a month","17","f","12"
"one to ten times per month","35","5","20"
"more than 10 times per month","85","8","40"
"going to bars, clubs or pubs in the evening","","",""
"less than once a month","23","5","15"
"one to ten times per month","72","5","33"
"more than 10 times per month","f","f","f"
"going to other activities outside the home in the evening","","",""
"less than once a month","20","f","13"
"one to ten times per month","31","4","18"
"more than 10 times per month","71","7","37"
"drug use in the past month","","",""
"yes","195","f","71"
"no","29","4","17"
"binge drinking in the past month","","",""
"yes","89","5","35"
"no","25","5","16"
"total","37","5","22"
