"","workers","workers","percent change in number of workers","proportion of workers aged 55 and over","proportion of workers aged 55 and over"
"","1996","2016","1996 to 2016","1996","2016"
"","number","number","percent","percent","percent"
"occupation","","","","",""
"executive assistants","11,300","43,600","286","8.0","25.2"
"estheticians, electrologists and related occupations","15,100","57,800","284","5.2","11.2"
"professional occupations in advertising, marketing and public relations","25,300","89,900","256","7.9","12.7"
"computer and information systems managers","20,100","62,200","209","5.0","15.6"
"inspectors in public and environmental health and occupational health and safety","10,200","31,300","207","10.6","20.9"
"social and community service workers","48,200","139,800","190","5.7","17.9"
"chefs","20,500","59,000","188","8.8","14.5"
"financial and investment analysts","18,900","51,600","173","6.1","11.8"
"human resources professionals","26,800","72,300","170","8.5","18.3"
"food service supervisors","15,300","40,400","164","5.6","7.8"
"administrative officers","100,100","260,500","160","10.2","26.0"
"financial sales representatives","24,200","60,500","151","4.4","15.8"
"post-secondary teaching and research assistants","24,900","62,300","150","4.1","6.8"
"business development officers and marketing researchers and consultants","25,900","62,900","143","8.3","15.5"
"early childhood educators and assistants","79,900","193,600","142","4.6","12.9"
"purchasing agents and officers","18,500","44,300","139","9.6","23.6"
"human resources and recruitment officers","12,900","30,600","137","8.0","13.3"
"dental hygienists and dental therapists","11,100","26,100","136","1.0","11.0"
"residential and commercial installers and servicers","19,800","46,400","135","7.3","18.1"
"professional occupations in business management consulting","35,200","78,300","123","15.0","24.7"
"program leaders and instructors in recreation, sport and fitness","47,000","104,700","123","3.4","8.7"
"senior managers - financial, communications and other business services","28,700","61,400","114","20.2","32.4"
"nurse aides, orderlies and patient service associates","117,500","245,500","109","11.3","23.1"
"electricians","40,100","83,700","109","9.5","15.7"
"elementary and secondary school teacher assistants","57,600","119,900","108","9.1","24.5"
