"","ratio of listings to dwellings","daily revenue per available listing","daily revenue per available room"
"","%","dollars","dollars"
"canada","0.9","37.20","94.82"
"newfoundland and labrador","0.4","25.77","90.45"
"prince edward island","1.4","49.06","77.43"
"nova scotia","0.6","40.97","84.36"
"new brunswick","0.3","26.26","66.36"
"quebec","1.2","31.16","108.34"
"ontario","0.8","36.61","98.79"
"manitoba","0.2","17.78","76.63"
"saskatchewan","0.2","14.36","67.67"
"alberta","0.5","23.83","68.81"
"british columbia","1.7","50.55","111.45"
"yukon","1.4","25.32","."
"northwest territories","0.8","41.06","."
"nunavut","0.2","12.34","."
