"","gender earnings gap","mean firm premiums for male workers","mean firm premiums for female workers","total contribution of firm premiums to earnings gap","share of overall gap explained by firm premiums","contribution of sorting effect","share of firm premiums explained by sorting","contribution of pay-setting effect","share of firm premiums explained by pay setting"
"","column 1","column 2","column 3","column 4","column 5","column 6","column 7","column 8","column 9"
"","log 2012 constant dollars","log 2012 constant dollars","log 2012 constant dollars","log 2012 constant dollars","ratio","log 2012 constant dollars","ratio","log 2012 constant dollars","ratio"
"all","0.268","0.176","0.115","0.061","0.228","0.029","0.477","0.032","0.523"
"by age group","","","","","","","","",""
"25 to 29","0.165","0.163","0.115","0.048","0.290","0.016","0.333","0.032","0.667"
"30 to 39","0.242","0.175","0.121","0.054","0.222","0.022","0.411","0.032","0.589"
"40 to 49","0.303","0.180","0.114","0.066","0.218","0.035","0.523","0.032","0.477"
"50 to 54","0.334","0.180","0.106","0.074","0.223","0.041","0.548","0.034","0.452"
"by province","","","","","","","","",""
"quebec","0.210","0.141","0.087","0.054","0.256","0.020","0.365","0.034","0.635"
"ontario","0.263","0.185","0.123","0.062","0.236","0.029","0.465","0.033","0.535"
"british columbia","0.308","0.166","0.107","0.059","0.192","0.035","0.592","0.024","0.408"
"common law in quebec","0.224","0.135","0.079","0.056","0.251","0.021","0.379","0.035","0.621"
"by marital status","","","","","","","","",""
"married","0.342","0.187","0.119","0.069","0.201","0.036","0.531","0.032","0.469"
"common law","0.231","0.155","0.097","0.058","0.252","0.025","0.432","0.033","0.568"
"widowed","0.313","0.181","0.108","0.073","0.233","0.042","0.578","0.031","0.422"
"divorced","0.230","0.182","0.121","0.060","0.263","0.027","0.455","0.033","0.545"
"separated","0.270","0.170","0.108","0.062","0.230","0.031","0.505","0.031","0.495"
"single","0.108","0.161","0.116","0.045","0.416","0.014","0.303","0.031","0.697"
"single and younger than 30","0.125","0.162","0.115","0.047","0.374","0.015","0.324","0.032","0.676"
"by children indicator","","","","","","","","",""
"no children","0.239","0.173","0.116","0.057","0.241","0.024","0.427","0.033","0.573"
"with children","0.351","0.185","0.113","0.072","0.207","0.043","0.591","0.030","0.409"
"with children younger than 6","0.330","0.177","0.110","0.067","0.204","0.038","0.567","0.029","0.433"
