"characteristic","total","total","total","boys","boys","boys","girls","girls","girls"
"characteristic","estimate","95% confidence interval","95% confidence interval","estimate","95% confidence interval","95% confidence interval","estimate","95% confidence interval","95% confidence interval"
"characteristic","estimate","from","to","estimate","from","to","estimate","from","to"
"wear time","12.0","11.7","12.2","11.9","11.6","12.2","12.0","11.8","12.3"
"sedentary time","436","425","447","432","416","448","440","428","453"
"light physical activity","213","206","219","210","203","217","215","206","225"
"moderate-to-vigorous physical activity","69","66","72","71","68","74","66","62","70"
"total physical activity","283","274","291","282","274","291","283","271","295"
"total counts per day","269,819","257,280","282,359","275,473","261,460","289,486","263,815","247,749","279,881"
"average screen time","2.0","1.8","2.2","2.1","1.8","2.4","2.0","1.7","2.3"
"height","102.9","101.9","104.3","103.8","102.5","105.7","102.0","100.3","104.3"
"weight","17.3","16.9","17.9","17.9","17.3","18.6","16.8","16.1","17.8"
"body mass index","16.3","16.1","16.5","16.5","16.1","17.0","16.1","15.8","16.5"
"household income","","","","","","","","",""
"$0 to $39,999","20.8","13.2","28.4","24.7","15.0","34.5","16.6","7.3","25.9"
"$40,000 to $79,999","29.3","22.9","35.7","28.0","19.6","36.4","30.7","23.2","38.1"
"$80,000 or more","49.9","39.5","60.4","47.3","34.8","59.7","52.8","40.4","65.1"
"highest level of education in household","","","","","","","","",""
"secondary graduation or less","13.2","9.5","16.9","9.1","5.5","12.8","17.5","11.0","23.9"
"at least some postsecondary, less than bachelor's degree","38.3","30.5","46.2","41.5","31.8","51.2","35.0","25.2","44.7"
"bachelor's degree","29.2","23.3","35.2","28.0","18.8","37.1","30.6","23.1","38.0"
"university degree or certificate above bachelor's degree","18.6","11.7","25.6","20.3","11.4","29.2","16.9","9.5","24.4"
"body mass index category","","","","","","","","",""
"healthy weight","66.2","60.5","71.9","63.3","57.0","69.6","69.2","59.5","78.9"
"at risk of overweight","25.4","19.8","31.1","26.8","19.4","34.1","24.0","16.3","31.8"
"overweight or obese","7.7","4.2","11.1","8.6","4.5","12.7","f","..",".."
"single-child household","","","","","","","","",""
"yes","18.7","13.5","23.9","20.0","13.4","26.6","17.4","9.7","25.1"
"mother's age at birth of child","","","","","","","","",""
"younger than 30","40.4","33.4","47.4","41.6","32.5","50.6","39.2","29.1","49.2"
"30 to 34","35.7","28.9","42.5","38.4","28.2","48.6","32.8","23.6","42.0"
"35 or older","23.9","18.6","29.1","20.0","12.6","27.5","27.9","16.6","39.2"
