"date(s) conducted","polling organisation/client","sample size","first preference","first preference","first preference","first preference","first preference","first preference","first preference","final round","final round"
"date(s) conducted","polling organisation/client","sample size","goldsmith","khan","berry","pidgeon","whittle","galloway","others","goldsmith","khan"
"5 may","2016 election","2596961","35.0%","44.2%","5.8%","4.6%","3.6%","1.4%","5.2%","43.2%","56.8%"
"2-4 may","yougov","1,574","32%","43%","7%","6%","7%","1%","4%","43%","57%"
"28 apr - 3 may","comres","1,034","36%","45%","6%","6%","4%","1%","2%","44%","56%"
"26 apr - 3 may","tns","1,001","33%","45%","4%","7%","5%","<1%","5%","43%","57%"
"26 apr - 1 may","opinium","1,004","35%","48%","5%","4%","5%","<1%","3%","43%","57%"
"21-25 apr","survation","1,010","34%","49%","3%","3%","5%","2%","4%","40%","60%"
"15-19 apr","yougov","1,017","32%","48%","6%","5%","7%","<1%","2%","40%","60%"
"30 mar - 3 apr","comres","1,049","37%","44%","4%","7%","5%","2%","1%","45%","55%"
"30 mar - 3 apr","opinium","1,015","39%","49%","3%","4%","4%","1%","","46%","54%"
"14-17 mar","comres","1,011","39%","42%","6%","6%","5%","1%","1%","47%","53%"
"8-10 mar","yougov","1,031","36%","45%","4%","5%","7%","2%","1%","45%","55%"
"2-7 mar","opinium","1,011","42%","48%","3%","3%","3%","1%","","45%","55%"
"4-6 jan","yougov","1,156","35%","45%","5%","4%","6%","2%","2%","45%","55%"
