"n","pos","nat","name","total","total","total","total","total","a-league","a-league","a-league","a-league","a-league","ffa cup","ffa cup","ffa cup","ffa cup","ffa cup","afc champions league","afc champions league","afc champions league","afc champions league","afc champions league","fifa club world cup","fifa club world cup","fifa club world cup","fifa club world cup","fifa club world cup"
"n","pos","nat","name","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card"
"1","gk","australia","ante covic","28","0","2","0","0","21","0","2","0","0","1","0","0","0","0","5","0","0","0","0","1","0","0","0","0"
"2","df","australia","shannon cole","16","0","3","0","0","7+5","0","3","0","0","0","0","0","0","0","1+2","0","0","0","0","0+1","0","0","0","0"
"3","df","japan","yusuke tanaka","15","0","6","0","0","10","0","4","0","0","0","0","0","0","0","5","0","2","0","0","0","0","0","0","0"
"4","df","australia","nikolai topor-stanley","28","0","7","1","0","20","0","5","1","0","1","0","1","0","0","6","0","0","0","0","1","0","1","0","0"
"5","df","australia","brendan hamill","17","0","1","0","0","13+2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"6","df","australia","antony golec","24","0","9","0","0","16+1","0","6","0","0","1","0","0","0","0","4","0","2","0","0","1+1","0","1","0","0"
"7","fw","australia","labinot haliti","28","1","0","0","0","12+8","1","0","0","0","0+1","0","0","0","0","3+2","0","0","0","0","2","0","0","0","0"
"8","mf","croatia","mateo poljak","22","1","7","0","0","19","1","6","0","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","0"
"9","fw","australia","tomi juric","22","6","2","0","0","11+3","4","1","0","0","1","0","0","0","0","3+2","1","1","0","0","0+2","1","0","0","0"
"10","mf","japan","yojiro takahagi","17","3","0","0","0","9+2","2","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0"
"11","fw","australia","brendon santalab","6","2","1","0","0","4+2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","fw","australia","nikita rukavytsya","28","4","2","0","0","18+5","3","1","0","0","0","0","0","0","0","4","1","1","0","0","1","0","0","0","0"
"13","df","australia","matthew spiranovic","19","0","3","1","0","13","0","2","1","0","0","0","0","0","0","5","0","0","0","0","1","0","1","0","0"
"14","fw","australia","kerem bulut","13","6","5","0","0","7+2","5","3","0","0","0","0","0","0","0","3+1","1","2","0","0","0","0","0","0","0"
"15","mf","australia","yianni perkatis","7","0","0","0","0","5+1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","fw","australia","jaushua sotirio","14","1","1","0","0","5+6","1","0","0","0","1","0","1","0","0","0+1","0","0","0","0","1","0","0","0","0"
"17","fw","netherlands","romeo castelen","23","4","0","0","0","14+2","2","0","0","0","0","0","0","0","0","4+1","1","0","0","0","2","1","0","0","0"
"18","mf","italy","iacopo la rocca","25","3","4","0","0","17+1","1","2","0","0","1","0","0","0","0","5","1","1","0","0","1","1","1","0","0"
"19","fw","australia","mark bridge","24","5","2","0","0","14+4","3","2","0","0","0+1","0","0","0","0","4","2","0","0","0","1","0","0","0","0"
"20","gk","australia","dean bouzanis","8","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"22","mf","australia","nick ward","1","0","0","0","0","0+1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","mf","australia","jason trifiro","20","0","1","0","0","4+11","0","1","0","0","1","0","0","0","0","0+3","0","0","0","0","1","0","0","0","0"
"25","df","australia","sam gallaway","14","0","2","0","0","8+3","0","2","0","0","0","0","0","0","0","2+1","0","0","0","0","0","0","0","0","0"
"30","gk","australia","thomas manos","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","mf","australia","alusine fofanah","6","0","1","0","0","4","0","1","0","0","0+1","0","0","0","0","0","0","0","0","0","0+1","0","0","0","0"
"32","df","australia","daniel alessi","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"33","mf","australia","nick kalmar","13","2","0","0","0","8+2","2","0","0","0","0","0","0","0","0","2+1","0","0","0","0","0","0","0","0","0"
"34","fw","australia","golgol mebrahtu","1","0","0","0","0","0+1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","mf","australia","kearyn baccus","7","0","3","0","0","2+2","0","0","0","0","0","0","0","0","0","1+1","0","2","0","0","1","0","1","0","0"
"36","mf","australia","michael trajkovski","1","0","0","0","0","0+1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","mf","australia","liam youlley","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","df","australia","jonathan aspropotamitis","9","0","3","0","0","8","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"38","fw","australia","steve kuzmanovski","8","0","0","0","0","3+5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","df","australia","shayne d'cunha","2","0","0","0","0","1+1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","gk","australia","thomas heward-belle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","df","australia","adrian madaschi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
