"province and territory","2009","2009","2010","2010","2011","2011","2012","2012","2013","2013","2014","2014","2009 to 2014","2009 to 2014"
"province and territory","number","rate","number","rate","number","rate","number","rate","number","rate","number","rate","total number","average rate"
"newfoundland and labrador","361","69.9","368","70.5","324","61.7","375","71.2","311","58.9","303","57.3","2,042","64.9"
"prince edward island","64","45.7","61","43.1","74","51.4","74","50.9","85","58.4","59","40.4","417","48.3"
"nova scotia","695","74.1","681","72.3","700","74.1","673","71.2","650","68.9","615","65.3","4,014","71.0"
"new brunswick","572","76.3","591","78.5","553","73.2","490","64.7","462","61.1","434","57.5","3,102","68.5"
"quebec","4,279","54.6","4,301","54.2","3,804","47.5","3,999","49.5","3,895","47.8","3,647","44.4","23,925","49.6"
"ontario","7,145","55.0","7,741","58.9","7,839","59.1","7,921","59.1","7,663","56.5","7,512","54.9","45,821","57.3"
"manitoba","1,272","105.2","1,446","118.4","1,461","118.4","1,460","116.8","1,402","110.8","1,433","111.9","8,474","113.6"
"saskatchewan","1,182","114.2","1,151","109.5","1,154","108.2","1,047","96.3","1,064","96.2","1,117","99.5","6,715","103.8"
"alberta","2,248","61.1","2,707","72.5","2,791","73.6","2,855","73.4","2,787","69.5","2,814","68.3","16,202","69.8"
"british columbia","2,630","59.6","2,874","64.4","2,718","60.4","2,542","56.0","2,437","53.2","2,276","49.1","15,477","57.0"
"yukon","74","219.4","67","193.7","64","180.8","77","212.8","76","208.6","79","213.6","437","204.8"
"northwest territories","187","433.4","187","432.1","183","420.7","174","398.6","176","401.1","150","341.1","1,057","404.3"
"nunavut","212","650.3","201","602.6","195","570.2","183","526.9","188","530.5","192","532.1","1,171","567.4"
"canada","20,921","62.2","22,376","65.8","21,860","63.7","21,870","62.9","21,196","60.3","20,631","58.0","128,854","62.1"
