"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wrexham","1971-72","third division","20","3","0","0","0","0","0","0","20","3"
"wrexham","1972-73","third division","26","0","2","1","2","0","4","0","32","1"
"wrexham","1973-74","third division","19","4","3","0","1","0","0","0","23","4"
"wrexham","1974-75","third division","31","5","0","0","1","0","0","0","32","5"
"wrexham","1975-76","third division","30","2","2","0","3","0","4","0","39","2"
"wrexham","1976-77","third division","45","6","6","0","5","2","0","0","56","8"
"wrexham","1977-78","third division","43","7","9","1","6","0","0","0","58","8"
"wrexham","1978-79","second division","16","6","0","0","3","0","2","0","21","6"
"wrexham","total","total","230","33","22","2","21","2","10","0","283","37"
"manchester united","1978-79","first division","25","1","8","1","0","0","0","0","33","2"
"manchester united","1979-80","first division","35","8","2","0","3","2","0","0","40","10"
"manchester united","1980-81","first division","30","2","3","1","2","0","2","0","37","3"
"manchester united","total","total","90","11","13","2","5","2","2","0","110","15"
"everton","1981-82","first division","10","0","0","0","1","0","0","0","11","0"
"brighton & hove albion","1981-82","first division","20","0","3","1","0","0","0","0","23","1"
"stoke city","1982-83","first division","41","11","3","0","2","1","0","0","46","12"
"stoke city","1983-84","first division","16","3","0","0","5","0","0","0","21","3"
"stoke city","total","total","57","14","3","0","7","1","0","0","67","15"
"chelsea","1983-84","second division","17","4","0","0","0","0","0","0","17","4"
"chelsea","1984-85","first division","27","5","3","0","7","2","0","0","37","7"
"chelsea","total","total","44","9","3","0","7","2","0","0","54","11"
"west bromwich albion","1985-86","first division","20","0","2","1","5","0","1","0","28","1"
"derby county","1985-86","third division","9","0","0","0","0","0","0","0","9","0"
"shrewsbury town","1988-89","second division","40","1","1","0","1","0","0","0","42","1"
"leeds united","1989-90","second division","3","0","0","0","0","0","0","0","3","0"
"stoke city","1989-90","second division","8","0","0","0","0","0","0","0","8","0"
"stoke city","1990-91","third division","38","7","3","0","3","0","1","0","45","7"
"stoke city","total","total","46","7","3","0","3","0","1","0","53","7"
"wrexham","1991-92","fourth division","26","1","5","2","2","0","1","0","33","3"
"wrexham","1992-93","third division","8","1","1","0","1","0","0","0","10","0"
"wrexham","total","total","34","2","6","2","3","0","1","0","43","3"
"career total","career total","career total","603","77","56","8","53","7","16","0","728","92"
