"characteristics","less than 1 hour","less than 1 hour","less than 1 hour","1 to 5 hours","1 to 5 hours","1 to 5 hours","more than 5 hours","more than 5 hours","more than 5 hours","x mathtype@mtef@5@5@+= feaagkart1ev2aqatcvaufebsjuyzl2yd9gzlbvynv2caerbulwbln hiov2dgi1btfmbaexatlxbi9gbaerbd9wdylwzybitldharqqtubsr 4rnchbgeagqivv0je9sqqrpepc0xbbl8f4rqqrffpeea0xe9lq=jc9 vqaqpepm0xbba9pwe9q8fs0=yqaqpepae9pg0firpepekkfr0xfr=x fr=xb9adbaqaaegacigaaiaabeqaamaabaabaaqcaaeaagqadiaa=h haaaa@381b@ 2","p"
"characteristics","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","x mathtype@mtef@5@5@+= feaagkart1ev2aqatcvaufebsjuyzl2yd9gzlbvynv2caerbulwbln hiov2dgi1btfmbaexatlxbi9gbaerbd9wdylwzybitldharqqtubsr 4rnchbgeagqivv0je9sqqrpepc0xbbl8f4rqqrffpeea0xe9lq=jc9 vqaqpepm0xbba9pwe9q8fs0=yqaqpepae9pg0firpepekkfr0xfr=x fr=xb9adbaqaaegacigaaiaabeqaamaabaabaaqcaaeaagqadiaa=h haaaa@381b@ 2","p"
"characteristics","%","from","to","%","from","to","%","from","to","x mathtype@mtef@5@5@+= feaagkart1ev2aqatcvaufebsjuyzl2yd9gzlbvynv2caerbulwbln hiov2dgi1btfmbaexatlxbi9gbaerbd9wdylwzybitldharqqtubsr 4rnchbgeagqivv0je9sqqrpepc0xbbl8f4rqqrffpeea0xe9lq=jc9 vqaqpepm0xbba9pwe9q8fs0=yqaqpepae9pg0firpepekkfr0xfr=x fr=xb9adbaqaaegacigaaiaabeqaamaabaabaaqcaaeaagqadiaa=h haaaa@381b@ 2","p"
"sex","","","","","","","","","","22.6","< 0.001"
"men","40.1","35.7","44.8","44.6","40.9","48.4","15.2","13.1","17.7","",""
"women","28.4","25.3","31.8","51.4","48.1","54.6","20.2","17.4","23.4","",""
"education","","","","","","","","","","4.2","0.009"
"less than college","37.2","33.1","41.5","44.2","39.9","48.5","18.6","15.4","22.3","",""
"college","32.0","27.8","36.6","49.0","44.3","53.7","19.0","16.0","22.4","",""
"university","30.0","25.1","35.5","54.5","49.5","59.4","15.5","12.5","19.1","",""
"household income","","","","","","","","","","5.0","0.003"
"less than $40,000","33.6","28.9","38.6","44.5","40.3","48.7","21.9","18.4","25.9","",""
"$40,000 to $79,999","36.1","31.9","40.6","47.7","44.7","50.8","16.2","13.7","19.0","",""
"$80,000 or more","32.9","29.1","36.8","51.1","47.9","54.3","16.0","13.6","18.8","",""
"age group","","","","","","","","","","8.6","< 0.001"
"20 to 39","28.7","24.3","33.5","51.6","48.4","54.8","19.8","16.4","23.7","",""
"40 to 59","37.6","33.8","41.6","45.6","41.9","49.3","16.9","14.5","19.5","",""
"60 to 79","37.6","34.4","41.0","46.4","43.4","49.5","15.9","13.8","18.4","",""
"daily physical activity","","","","","","","","","","14.6","< 0.001"
"usually sit","37.2","32.4","42.3","51.2","46.8","55.6","11.6","8.8","15.1","",""
"stand, walk, lift weights","32.9","29.4","36.6","46.6","44.1","49.2","20.5","17.9","23.2","",""
