"type of correctional supervision","total-initial entries","total-initial entries","total-initial entries","total-initial entries"
"type of correctional supervision","number","percent","percent change in the number from 2016/2017","percent change in the number from 2013/2014"
"custody","1,652","29","-13","-25"
"pre-trial detention","1,583","28","-13","-25"
"sentenced custody","69","1","0","-30"
"secure custody and supervision","31","1","0","-24"
"open custody and supervision","38","1","0","-35"
"community supervision","3,988","71","-1","-35"
"probation","2,649","47","-4","-38"
"deferred custody and supervision","93","2","22","-18"
"intensive support and supervision","27","0","42","59"
"other community","1,219","22","5","-29"
"total correctional services","5,640","100","-5","-32"
