"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"oakleigh cannons","2007","victorian premier league","7","1","0","0","0","0","7","1"
"apollon kalamarias","2007-08","superleague greece","8","0","0","0","0","0","8","0"
"apollon kalamarias","2008-09","beta ethniki","21","6","0","0","0","0","21","6"
"apollon kalamarias","total","total","29","6","0","0","0","0","29","6"
"kavala","2009-10","superleague greece","5","1","1","0","0","0","6","1"
"kavala","2010-11","superleague greece","9","0","1","0","0","0","10","0"
"kavala","total","total","14","1","2","0","0","0","16","1"
"paok","2011-12","superleague greece","15","2","0","0","2","0","17","2"
"paok","2012-13","superleague greece","11","1","3","2","3","0","17","3"
"paok","total","total","26","3","3","2","5","0","34","5"
"platanias","2012-13","superleague greece","9","1","1","0","0","0","10","1"
"panionios","2013-14","superleague greece","28","3","5","1","0","0","33","4"
"panionios","2014-15","superleague greece","32","10","6","2","0","0","38","12"
"panionios","total","total","60","13","11","3","0","0","71","16"
"asteras tripoli","2015-16","superleague greece","21","13","3","0","6","1","30","14"
"guangzhou r&f","2016","chinese super league","22","5","3","1","0","0","25","6"
"guangzhou r&f","2017","chinese super league","7","2","0","0","0","0","7","2"
"guangzhou r&f","total","total","29","7","3","1","0","0","32","8"
"aek larnaca","2017-18","cypriot first division","11","2","6","3","0","0","17","5"
"aek larnaca","2018-19","cypriot first division","1","0","0","0","8","2","9","2"
"career total","career total","career total","207","46","29","9","19","3","255","58"
