"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"watford","2001-02","first division","0","0","0","0","0","0","-","-","0","0"
"watford","2002-03","first division","4","0","0","0","0","0","-","-","4","0"
"watford","2003-04","first division","0","0","0","0","0","0","-","-","0","0"
"watford","2004-05","championship","33","0","5","0","0","0","-","-","38","0"
"watford","2005-06","championship","0","0","-","-","0","0","0","0","0","0"
"watford","2006-07","premier league","10","0","2","0","2","0","-","-","14","0"
"watford","2007-08","championship","35","0","2","0","2","0","2","0","41","0"
"watford","2008-09","championship","10","0","1","0","0","0","-","-","11","0"
"watford","2009-10","championship","0","0","2","0","0","0","-","-","2","0"
"watford","total","total","92","0","12","0","4","0","2","0","110","0"
"blackburn rovers","2005-06","premier league","0","0","0","0","0","0","-","-","0","0"
"brentford","2010-11","league one","22","0","3","0","2","0","6","0","33","0"
"brentford","2011-12","league one","37","0","0","0","2","0","3","0","42","0"
"brentford","2012-13","league one","3","0","0","0","2","0","1","0","6","0"
"brentford","2013-14","league one","4","0","1","0","0","0","0","0","5","0"
"brentford","2014-15","championship","0","0","0","0","1","0","-","-","1","0"
"brentford","total","total","66","0","4","0","7","0","10","0","87","0"
"dunstable town","2017-18","southern league premier division","1","0","-","-","1","0","none","none","none","none"
"career total","career total","career total","159","0","16","0","11","0","12","0","198","0"
