"","percentage of persons in poverty","percentage of persons in poverty","percentage of persons in poverty","number of persons in poverty","number of persons in poverty","number of persons in poverty"
"","2008-base","2018-base","difference","2008-base","2018-base","difference"
"","percent","percent","percentage point","in thousands","in thousands","in thousands"
"geography","","","","","",""
"canada","8.7","11.0","2.3","3,173","3,983","810"
"newfoundland and labrador","9.7","11.2","1.5","50","58","8"
"prince edward island","9.1","11.9","2.8","14","18","4"
"nova scotia","10.3","13.3","3.0","96","124","28"
"new brunswick","7.9","10.0","2.1","58","74","16"
"quebec","7.9","9.7","1.8","655","812","157"
"ontario","9.5","11.6","2.1","1,351","1,658","307"
"manitoba","9.3","10.9","1.6","117","137","20"
"saskatchewan","8.8","11.2","2.4","96","122","26"
"alberta","7.3","9.4","2.1","316","403","87"
"british columbia","8.9","12.1","3.2","421","577","156"
"age group","","","","","",""
"persons under 18 years","8.2","10.8","2.6","566","748","182"
"persons 18 to 64 years","10.3","12.5","2.2","2,392","2,883","491"
"persons 65 years and over","3.5","5.6","2.1","216","352","136"
"family types","","","","","",""
"persons in economic families","5.8","7.6","1.8","1,759","2,313","554"
"persons not in an economic family","24.6","29.0","4.4","1,414","1,670","256"
"persons in couple families with children","5.4","7.5","2.1","691","953","262"
"persons in lone-parent families","21.7","26.3","4.6","345","417","72"
