"","quantities of dried cannabis","quantities of dried cannabis","quantities of dried cannabis"
"","mean","95% confidence interval","95% confidence interval"
"","mean","lower limit","upper limit"
"total grams","","",""
"average","27.5","22.7","32.3"
"gender","","",""
"males","27.6","21.3","33.9"
"females","27.6","20.6","34.6"
"age group","","",""
"15 to 24","18.9","10.7","27.0"
"25 or older","30.0","24.5","35.6"
"cannabis product type","","",""
"dried (flower/leaf) only","22.1","15.9","28.4"
"dried (flower/leaf) other","33.7","26.5","41.0"
"frequency of use","","",""
"daily or almost daily","62.6","52.3","72.9"
"weekly","12.0","8.9","15.1"
"monthly","8.3","3.7","12.8"
"once or twice","2.6","1.5","3.7"
