"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lelle","2004","ii liiga","22","4","0","0","-","-","22","4","none","none"
"tervis parnu","2004","esiliiga","3","1","1","0","-","-","4","1","none","none"
"tervis parnu","2005","esiliiga","29","3","1","0","-","-","30","3","none","none"
"tervis parnu","total","total","32","4","2","0","-","-","34","4","none","none"
"warrior","2006","meistriliiga","16","4","1","1","-","-","17","5","none","none"
"flora ii","2006","esiliiga","6","5","0","0","-","-","6","5","none","none"
"flora ii","2007","esiliiga","31","9","3","1","-","-","34","10","none","none"
"flora ii","2008","esiliiga","16","3","2","1","-","-","18","4","none","none"
"flora ii","2009","esiliiga","9","4","0","0","-","-","9","4","none","none"
"flora ii","total","total","62","21","5","2","-","-","67","23","none","none"
"flora","2006","meistriliiga","10","0","1","2","3","0","1","0","15","2"
"flora","2008","meistriliiga","3","1","0","0","0","0","3","0","6","1"
"flora","2009","meistriliiga","23","1","1","0","2","0","1","0","27","1"
"flora","total","total","36","2","2","2","5","0","5","0","48","4"
"tulevik","2008","meistriliiga","14","0","3","2","-","-","17","2","none","none"
"nomme kalju ii","2010","ii liiga","1","1","0","0","-","-","1","1","none","none"
"nomme kalju","2010","meistriliiga","35","4","3","0","-","-","2","0","40","4"
"nomme kalju","2011","meistriliiga","36","2","2","0","2","0","-","-","40","2"
"nomme kalju","2012","meistriliiga","36","1","4","0","2","0","-","-","42","1"
"nomme kalju","2013","meistriliiga","36","2","6","1","6","0","1","0","49","3"
"nomme kalju","2014","meistriliiga","35","4","0","0","4","0","-","-","39","4"
"nomme kalju","2015","meistriliiga","35","3","4","1","4","0","-","-","43","4"
"nomme kalju","total","total","213","16","19","2","18","0","3","0","253","18"
"gornik zabrze","2015-16","ekstraklasa","15","0","0","0","-","-","15","0","none","none"
"korona kielce","2016-17","ekstraklasa","24","0","0","0","-","-","24","0","none","none"
"korona kielce","2017-18","ekstraklasa","31","1","4","0","-","-","35","1","none","none"
"korona kielce","total","total","55","1","4","0","-","-","59","1","none","none"
"career total","career total","career total","466","53","36","9","23","0","8","0","533","62"
