"","direct tax thresholds","direct tax thresholds","direct tax thresholds","direct tax thresholds","direct tax thresholds","indirect tax thresholds","indirect tax thresholds"
"","second federal tax","second provincial/ territorial tax","third federal tax","third provincial/ territorial tax","fourth federal tax","old age security recovery tax","employment insurance recovery tax"
"","percent","percent","percent","percent","percent","percent","percent"
"by time period","","","","","","",""
"2001 to 2012","6.097","3.430","3.893","2.475","2.652","8.434","17.340"
"2001 to 2006","6.853","3.861","4.213","2.206","2.927","8.983","16.440"
"2007 to 2012","5.369","2.987","3.685","2.567","2.656","7.907","17.770"
"by year","","","","","","",""
"2001","6.937","6.849","4.753","3.636","2.534","9.395","19.450"
"2002","6.927","5.731","4.411","3.031","2.516","9.125","19.160"
"2003","6.598","5.541","4.696","2.930","2.714","9.133","18.010"
"2004","5.256","1.959","4.735","1.960","3.140","9.159","15.570"
"2005","7.865","1.525","7.704","0.830","3.008","8.521","13.870"
"2006","7.547","2.104","-0.689","1.682","2.840","9.296","15.090"
"2007","5.552","3.460","3.375","4.531","2.461","8.044","17.120"
"2008","4.461","5.500","6.411","5.838","2.665","9.849","17.540"
"2009","5.919","3.332","3.996","-0.561","2.777","7.790","18.830"
"2010","6.063","2.763","1.876","0.691","2.990","8.256","17.800"
"2011","5.866","1.875","3.094","3.973","2.921","6.810","16.950"
"2012","4.353","0.606","3.288","0.914","2.190","7.218","18.000"
