"","unemployment rate - all women aged 25 to 34","unemployment rate - canadian-born women aged 25 to 34","unemployment rate - immigrant women aged 25 to 34","percent of female degree holders aged 25 to 34 that are female immigrants with a degree aged 25 to 34"
"","percent","percent","percent","percent"
"total -all fields","5.9","4.4","10.3","27"
"total - stem","7","4.7","10.7","41"
"science and technology","6.5","4.9","10.8","30"
"mathematics and computer science","8.5","4.8","10.9","65"
"engineering","7.1","3.8","10.3","54"
"other","5.7","4.3","10.2","25"
"education","3.9","3.4","7.9","12"
"health professions and related programs","4.4","3.1","9","26"
"business, management, marketing and related support services","6.2","3.6","10.2","41"
