"reason for not reporting incident(s) to the police","hate crime","not a hate crime"
"reason for not reporting incident(s) to the police","percent","percent"
"fear of revenge by the offender","28","7"
"police wouldn't have found property/offender","46","51"
"lack of evidence","54","52"
"police wouldn't have considered the incident important enough","64","58"
"police would not have been effective","53","33"
"unsatisfactory service (from police) in the past","29","16"
"tried to report but could not get through","f","1"
"could have caused victim trouble with the law","f","3"
"did not want to get the offender in trouble","15","13"
"did not want the hassle of dealing with the police","46","37"
"reporting to the police would bring shame and dishonour to the family","f","3"
"family prevented victim from contacting the police","f","f"
"incident was a private or personal matter and was handled informally","53","43"
"didn't want others to know","19","8"
"crime was minor and not worth taking the time to report","62","79"
"no one was harmed/no financial loss","50","49"
"no harm was intended","16","36"
"offender would not be convicted or adequately punished","58","37"
"feared or did not want the hassle of dealing with the court process","40","25"
"police would be biased","21","6"
"insurance wouldn't cover it","f","12"
"did not need a police report to file claim","f","6"
"nothing was taken/all items were recovered","f","8"
"reported to another official","f","10"
"other","f","7"
