"province/territory, sex and age group","cchs respondents who linked to cmdb","cchs respondents who linked to cmdb","cchs respondents who linked to cmdb","cchs respondents who linked to cmdb"
"province/territory, sex and age group","unweighted","unweighted","weighted","weighted"
"province/territory, sex and age group","number","%","number","%"
"total","32,889","5.3",".","."
"province/territory","","","",""
"newfoundland","950","5.0","15,374","3.4"
"prince edward island","746","6.6","4,279","3.6"
"nova scotia","1,622","6.6","30,644","3.8"
"new brunswick","1,372","5.6","21,683","3.4"
"quebec","6,068","4.9","198,841","3.0"
"ontario","10,382","5.3","291,177","2.7"
"manitoba","2,228","6.2","32,065","3.4"
"saskatchewan","2,413","6.6","28,913","3.6"
"alberta","2,638","4.5","65,655","2.3"
"british columbia","4,144","5.7","108,248","2.9"
"yukon","122","3.0","532","1.9"
"northwest territories","118","2.4","587","1.7"
"nunavut","86","2.5","327","2.0"
"sex","","","",""
"male","16,439","5.8","429,275","3.1"
"female","16,450","5.0","369,054","2.6"
"age group","","","",""
"12 to 24","310","0.3","9,138","0.2"
"25 to 34","356","0.4","10,804","0.2"
"35 to 44","932","1.0","29,068","0.6"
"45 to 54","2,242","2.4","73,536","1.5"
"55 to 64","4,482","4.8","122,125","3.2"
"65 to 74","8,233","11.4","191,224","8.0"
"75 or older","16,334","27.0","362,432","20.5"
